volume_id,0_spleen,1_spleen,2_spleen,3_spleen,4_spleen,5_spleen,6_spleen,7_spleen,8_spleen,9_spleen,0_liver,1_liver,2_liver,3_liver,4_liver,5_liver,6_liver,7_liver,8_liver,9_liver,seg_liver,seg_spleen
KORA2456928,21040,21033,21037,21045,21028,21034,21024,21036,21047,21042,166346,166318,166339,166355,166360,166350,166393,166323,166357,166286,1996044,252396
KORA2453374,15602,15626,15621,15616,15628,15615,15594,15624,15625,15601,134456,134281,134272,133895,134031,134281,134285,134257,134143,134316,1611216,187368
KORA2460785,16311,16327,16351,16335,16335,16352,16339,16345,16317,16321,122423,122503,122454,122477,122410,122507,122688,122547,122720,122962,1470144,196044
KORA2459947,9572,9565,9569,9559,9569,9566,9561,9563,9563,9555,90831,90826,90784,90869,90844,90834,90854,90885,90923,90777,1090176,114768
KORA2459455,13898,13874,13887,13853,13972,13852,13846,13819,13871,13903,136633,136736,136925,136742,136850,136630,136632,136771,136691,136655,1640496,166440
KORA2459681,16166,16138,16160,16151,16120,16165,16167,16140,16168,16167,127323,127307,127252,127242,127504,127414,127311,127455,127447,127251,1528608,193920
KORA2457266,20227,20246,20245,20252,20229,20245,20236,20244,20255,20229,148769,148782,148743,148764,148745,148699,148795,148715,148776,148787,1785024,242928
KORA2461493,27918,27929,27955,27928,27908,27936,27935,27916,27954,27945,130596,130527,130576,130561,130579,130587,130579,130568,130561,130570,1566780,335244
KORA2453732,11655,11658,11648,11653,11636,11656,11638,11640,11645,11651,111060,111085,111070,111065,111111,111070,111069,111102,111062,111060,1332996,139764
KORA2456357,20765,20766,20771,20762,20770,20760,20769,20768,20754,20746,138771,138728,138708,138750,138744,138745,138740,138743,138705,138736,1664832,249240
KORA2453524,19990,20004,19986,19973,19987,19988,19986,20016,19993,19968,127999,128000,127982,128067,128023,128066,127985,128006,128051,128000,1535880,239796
KORA2452868,19791,19799,19794,19802,19797,19795,19798,19806,19799,19781,176211,176164,176109,176097,176152,176096,176135,176106,176110,176106,2113596,237564
KORA2457517,10724,10718,10713,10724,10715,10716,10720,10727,10723,10714,128255,128250,128250,128312,128250,128273,128289,128294,128238,128274,1539120,128616
KORA2461409,11162,11165,11207,11195,11193,11182,11208,11201,11195,11172,119420,119279,119333,119209,119249,119270,119265,119312,119256,119300,1431468,134232
KORA2459752,34617,34610,34607,34626,34605,34613,34616,34593,34617,34600,186464,186509,186483,186474,186466,186473,186472,186464,186463,186494,2237796,415344
KORA2452263,12286,12279,12280,12280,12280,12284,12278,12279,12281,12286,118524,118589,118585,118541,118550,118616,118581,118557,118560,118617,1422936,147396
KORA2460867,15459,15459,15466,15479,15459,15452,15455,15478,15454,15474,110405,110424,110425,110406,110399,110393,110389,110400,110435,110433,1325100,185532
KORA2460878,18237,18208,18202,18238,18202,18223,18184,18202,18178,18207,157907,157928,157902,157893,157901,157897,157856,157897,157871,157943,1894956,218352
KORA2453082,10918,10916,10905,10900,10908,10912,10913,10912,10931,10915,110576,110577,110608,110584,110646,110518,110617,110491,110573,110598,1326744,130920
KORA2453037,15600,15584,15612,15608,15583,15585,15578,15599,15611,15589,93630,93705,93961,93735,93624,93754,93619,93950,93679,93790,1125612,187164
KORA2462345,9363,9373,9372,9366,9365,9366,9368,9360,9370,9365,160888,160871,160851,160869,160869,160836,160812,160877,160814,160889,1930200,112404
KORA2461252,20981,20966,20969,20975,20977,20972,20980,20978,20970,20963,147734,147717,147715,147699,147722,147723,147699,147711,147724,147732,1772448,251748
KORA2459310,16581,16561,16565,16573,16566,16573,16566,16563,16562,16568,130029,129998,130008,129964,129951,129945,129979,129989,129986,129979,1559760,198768
KORA2460145,16353,16314,16352,16367,16333,16335,16356,16345,16326,16353,142702,142725,142698,142726,142697,142720,142697,142765,142667,142735,1712544,195972
KORA2458068,14044,14041,14056,14039,14044,14040,14039,14058,14053,14041,207436,207440,207407,207420,207416,207460,207447,207445,207417,207422,2489280,168588
KORA2460779,18760,18845,18792,18865,18842,18868,18851,18854,18873,18899,108658,108705,108663,108650,108621,108618,108723,108698,108692,108730,1304112,226332
KORA2453765,15196,15185,15187,15172,15195,15194,15244,15246,15172,15203,142998,142919,143014,143048,143021,142956,142932,142913,143097,142999,1715952,182376
KORA2461349,24368,24356,24346,24341,24359,24358,24350,24355,24347,24357,156226,156253,156289,156251,156275,156232,156297,156315,156284,156282,1875396,292248
KORA2452659,22759,22812,22818,22796,22795,22811,22773,22815,22772,22793,212431,212403,212427,212366,212428,212363,212427,212363,212334,212421,2548764,273528
KORA2452338,15398,15406,15418,15421,15415,15391,15403,15400,15408,15405,148161,148101,148244,148083,148309,148067,148200,148145,148017,148185,1778088,184812
KORA2462093,13753,13745,13735,13740,13746,13754,13769,13762,13755,13755,146299,146317,146344,146308,146367,146328,146264,146306,146353,146327,1755696,164988
KORA2456340,16755,16749,16735,16740,16707,16720,16746,16715,16684,16724,116710,116700,116770,116693,116744,116615,116681,116687,116744,116726,1400496,200736
KORA2453833,6759,6759,6761,6751,6759,6764,6748,6767,6766,6763,154909,154821,154856,154833,154795,154822,154900,154846,154857,154877,1858188,81132
KORA2461146,16859,16855,16865,16858,16846,16863,16856,16862,16856,16856,162676,162654,162665,162668,162636,162697,162644,162686,162605,162682,1951740,202212
KORA2459745,18165,18167,18157,18142,18152,18159,18149,18165,18160,18159,185626,185720,185649,185596,185719,185826,185636,185598,185665,185928,2228364,217872
KORA2460543,12097,12105,12103,12105,12089,12103,12105,12113,12104,12099,101691,101735,101715,101732,101710,101718,101703,101727,101720,101721,1220616,145224
KORA2461184,11538,11542,11539,11545,11547,11538,11538,11563,11533,11540,129978,129982,130024,130014,129988,130021,130019,130006,130071,129995,1560168,138564
KORA2459477,17428,17438,17433,17429,17417,17432,17429,17415,17438,17422,119191,119103,119110,119126,119112,119173,119155,119154,119117,119205,1429752,209112
KORA2453642,5563,5544,5481,5541,5489,5468,5460,5462,5507,5550,107375,107239,107322,107323,107245,107272,107331,107292,107357,107272,1287636,66024
KORA2453470,39769,39505,39650,39846,39825,39954,39763,39666,39475,39694,179995,180314,180160,179795,180030,180014,179962,179930,180283,179979,2160888,476256
KORA2455946,22071,22074,22066,22071,22065,22073,22070,22072,22066,22071,131131,131069,131181,131119,131079,131097,131148,131173,131095,131098,1573236,264828
KORA2453844,9578,9564,9569,9562,9542,9569,9568,9568,9575,9547,126507,126543,126500,126496,126480,126515,126434,126526,126529,126488,1518144,114768
KORA2453048,10996,11027,11008,10995,11000,11008,11012,11008,11020,10991,90401,90358,90290,90312,90364,90308,90443,90336,90473,90356,1084200,132060
KORA2459499,19936,19948,19950,19935,19967,19933,19941,19937,19937,19938,161093,161024,161045,160930,160961,160934,161080,160940,160994,160951,1932096,239304
KORA2452801,23513,23517,23528,23511,23523,23508,23513,23517,23526,23507,117077,117115,117091,117089,117094,117128,117103,117136,117091,117109,1405512,282156
KORA2461392,43467,43479,43504,43477,43482,43499,43488,43486,43480,43484,187051,187051,187123,187079,187127,187189,187122,187086,187056,187148,2245464,521892
KORA2456385,10957,10950,10961,10972,10982,10969,10956,10949,10990,10974,103170,103245,103233,103177,103214,103223,103175,103212,103224,103274,1238544,131580
KORA2458040,18681,18750,18660,18805,18906,18759,18789,18770,18826,18824,151619,151622,151641,151588,151631,151610,151642,151568,151562,151607,1819272,225384
KORA2460768,21477,21479,21474,21478,21470,21476,21469,21478,21467,21468,115331,115345,115229,115291,115302,115265,115289,115358,115247,115288,1383444,257700
KORA2452381,17018,17013,17012,17003,17014,17015,17008,17015,17011,17014,146514,146540,146519,146482,146464,146553,146495,146522,146490,146538,1758336,204144
KORA2459244,6551,6494,6484,6593,6620,6477,6564,6549,6667,6632,172967,173009,173224,172829,172982,173006,172780,173036,172996,172860,2076072,78708
KORA2461868,11848,11835,11846,11849,11846,11850,11857,11858,11849,11848,127369,127371,127393,127423,127337,127418,127432,127435,127389,127350,1528848,142212
KORA2453328,14427,14408,14428,14427,14433,14428,14432,14418,14417,14422,143643,143603,143665,143656,143630,143700,143603,143686,143658,143683,1723692,173136
KORA2460348,20109,20095,20104,20098,20121,20096,20093,20109,20112,20096,122405,122463,122369,122415,122415,122425,122407,122397,122409,122443,1469052,241200
KORA2455753,23667,23674,23676,23659,23659,23664,23670,23686,23667,23679,140642,140608,140614,140666,140614,140634,140575,140709,140635,140654,1687572,284004
KORA2458197,23685,23645,23665,23670,23679,23677,23650,23671,23669,23674,188676,188662,188697,188641,188657,188610,188654,188622,188646,188639,2263872,284076
KORA2453620,17216,17217,17223,17214,17219,17213,17219,17218,17228,17225,158140,158100,158081,158075,158082,158109,158085,158106,158102,158121,1897380,206652
KORA2458707,12595,12594,12593,12587,12589,12586,12590,12589,12594,12589,135685,135665,135681,135693,135695,135695,135631,135695,135715,135729,1628256,151140
KORA2456661,14100,14087,14101,14079,14092,14055,14122,14082,14081,14099,106574,106595,106530,106533,106520,106505,106503,106537,106571,106555,1278504,169104
KORA2461956,18048,18062,18049,18031,18064,18035,18039,18044,18054,18052,126104,126125,126137,126157,126130,126115,126113,126189,126134,126158,1513680,216528
KORA2453464,10528,10523,10528,10529,10528,10515,10530,10534,10537,10530,102040,102043,102010,102073,102084,102062,102050,102028,102100,102040,1224708,126300
KORA2456562,20376,20375,20384,20368,20370,20371,20371,20384,20381,20383,125684,125246,125151,125282,125310,126082,125532,125613,125173,125533,1505928,244500
KORA2452426,17638,17682,17650,17619,17657,17647,17627,17702,17644,17616,116859,116844,116886,116913,116846,116841,116887,116875,116917,116865,1402488,211752
KORA2458366,7181,7184,7215,7158,7168,7202,7214,7186,7189,7170,125548,125541,125515,125546,125566,125519,125566,125599,125575,125526,1506684,86316
