volume_id,0_spleen,1_spleen,2_spleen,3_spleen,4_spleen,5_spleen,6_spleen,7_spleen,8_spleen,9_spleen,0_liver,1_liver,2_liver,3_liver,4_liver,5_liver,6_liver,7_liver,8_liver,9_liver,seg_spleen,seg_liver
KORA2461555,21841,21815,21758,21718,21712,21660,21972,21772,21823,21663,129784,129323,129044,129703,129294,130025,129616,129680,130121,130100,129677,21793
KORA2457044,23627,23210,23067,23306,23944,23476,23530,23462,23232,23662,195887,196162,195668,194823,194674,194339,194347,194816,194861,194430,195508,23300
KORA2460633,18942,18971,18865,18934,18816,18938,18824,19047,19053,18743,111693,111890,111770,111305,112360,112051,111587,111790,112113,111793,111828,18962
KORA2456021,19282,18794,19111,19265,19013,18943,18989,19020,19169,19392,162168,162405,161707,160800,161150,162110,161820,161172,162160,161174,161240,19053
KORA2453172,14589,14639,14595,14536,14693,14585,14521,14658,14694,14646,130624,130406,130385,131081,130330,130624,130229,130175,130931,131317,130349,14601
KORA2452129,16042,16064,16033,16159,15982,16074,16037,15981,16159,16110,116270,115856,115971,116118,116505,116335,116182,117016,116479,116577,116182,16052
KORA2453136,30877,30624,30548,30725,30905,30908,30722,30804,30796,30582,189159,188999,189160,189121,188899,189316,189920,189747,190471,189812,189565,30739
KORA2459605,15554,15580,15741,15745,15522,15573,15819,15841,15587,15644,129303,128550,128555,128648,128407,128811,128925,128866,128850,128649,128612,15504
KORA2452687,13667,13789,13468,13771,13713,13703,13674,13780,13695,13638,131666,131636,132893,131198,131970,131286,132629,131669,132138,131353,131333,13642
KORA2455935,2135,2106,2001,2319,1718,2093,2243,1777,2324,1948,132858,132667,133206,133676,133132,133104,133284,133906,133117,132678,133042,2122
KORA2452812,7428,7648,7518,7513,7273,7335,7416,7489,7451,7304,83826,83206,83275,83740,83235,83074,83527,83211,83332,83403,83473,7442
KORA2460565,23640,23474,23201,23443,23260,23563,23661,23842,23378,23447,142204,142466,142968,142467,141737,141932,142267,141966,142376,142744,142341,23455
KORA2452941,14948,14933,15036,14961,15043,14870,15091,14879,15079,14917,157259,156896,157269,157185,157679,157082,157626,157374,157678,157755,157341,14960
KORA2460830,20030,20377,20357,20101,20354,20268,20229,20327,20194,20201,134229,134937,134939,133841,134635,134571,135136,134614,134798,135354,133864,20088
KORA2460824,19853,19999,19925,19704,19953,19984,19970,19737,19905,19743,127289,126900,126849,127216,126792,126683,126753,126969,126645,127526,126805,19812
KORA2456672,26041,25966,26179,26284,25944,25915,26370,26306,26039,26398,192617,193819,194446,192759,193629,194643,195007,193325,191541,192471,193699,26065
KORA2460903,19274,19161,19060,19181,19297,19243,19258,19136,19170,19281,147375,147541,147374,146969,147268,147221,146358,147111,147621,147239,147199,19148
KORA2453306,18878,18882,18814,18865,18937,18945,18876,18868,18860,18841,156657,156640,156301,157473,156652,155833,156533,156440,156747,157081,156608,18837
KORA2453194,10128,10392,10186,10139,10196,10269,10338,10208,10415,10354,117830,118403,119366,118126,118374,117392,119835,118669,118850,118648,118052,10226
KORA2460889,14491,14624,14656,14305,14458,14532,14372,14592,14401,14556,129755,130082,130216,130091,131157,130408,129768,130607,129787,129274,130272,14429
KORA2453578,13916,13755,12811,14251,13558,13877,14260,13462,12650,15578,169453,168742,169199,169254,169634,169357,169534,169244,169339,169383,169348,13034
KORA2460504,11036,11074,11172,10827,10869,11073,10805,10830,11105,10790,109492,109325,109304,108782,109293,109511,109674,109521,108808,109073,109222,10914
KORA2460216,21933,22252,22288,22254,21627,22375,21240,21891,22445,22287,158426,155851,157800,156870,158437,158266,158629,159676,158620,157905,157340,22149
KORA2452409,17638,17661,17306,17416,17686,17617,17311,17730,17664,17632,107783,107769,108178,109211,107222,108578,108760,109018,108405,107349,108520,17730
KORA2452190,15198,15214,14961,15229,15411,15418,15256,15483,15741,15063,176256,176549,177164,177007,177275,176300,177380,177126,177527,176683,176729,15137
KORA2453290,23267,23301,23353,23424,23323,23379,23435,23348,23388,23330,106448,105688,105941,106299,106522,106202,106357,106400,106290,106208,106115,23359
