volume_id,0_spleen,1_spleen,2_spleen,3_spleen,4_spleen,5_spleen,6_spleen,7_spleen,8_spleen,9_spleen,0_liver,1_liver,2_liver,3_liver,4_liver,5_liver,6_liver,7_liver,8_liver,9_liver,seg_liver,seg_spleen
KORA2461151,232704,232836,232572,232788,232740,232824,232680,232644,232716,232920,1761132,1759728,1760436,1760760,1759836,1760460,1760376,1761288,1760076,1760292,1760292,232680
KORA2458158,145236,145380,145488,145368,145236,145356,145380,145284,145296,145272,1299468,1300416,1299768,1300524,1299720,1299204,1300176,1299528,1299732,1300464,1300020,145320
KORA2455042,224268,224280,224232,224112,224460,223980,224040,224136,223836,224052,1278396,1278996,1278432,1278612,1278576,1278024,1278528,1278600,1277976,1278300,1278360,224076
KORA2460326,276192,275868,276060,275820,275892,275952,275868,275832,275892,275736,1646712,1646316,1647144,1646736,1646628,1646676,1646532,1646232,1646196,1646100,1646412,275892
KORA2452924,158220,158328,158592,157680,158292,158244,158784,158340,158484,157752,1479708,1478400,1478844,1477776,1477860,1480404,1478712,1479276,1480008,1479252,1479060,158376
KORA2456928,236880,237024,236940,237108,236976,236820,237048,236784,237228,237024,2003928,2003988,2003820,2003688,2004096,2004384,2003532,2003712,2004576,2004156,2004036,236976
KORA2453374,176484,176568,176556,176880,176748,176520,176544,176796,176628,176472,1220928,1222788,1221096,1223760,1224852,1221840,1219356,1223772,1219812,1224024,1221960,176580
KORA2460785,196368,196080,196032,196404,196164,196452,196272,196356,196068,195888,1560048,1561080,1561956,1560348,1560084,1561260,1561080,1559616,1560324,1560348,1560744,196308
KORA2459947,115524,115380,115356,115404,115608,115428,115488,115404,115416,115464,1030128,1030236,1030380,1030296,1030908,1030452,1029924,1030620,1029528,1029696,1030332,115464
KORA2459455,163716,163728,163584,163764,163584,164208,163800,163968,164016,163692,1617912,1617660,1618668,1618176,1614552,1620828,1616244,1616784,1616796,1617972,1617348,163668
KORA2459681,186684,186840,186972,186948,186672,186744,186804,186684,186912,186768,1379400,1378296,1378752,1378128,1377168,1377936,1379436,1379388,1379340,1378128,1378656,186804
KORA2457266,230688,230736,230856,230556,230676,230472,230640,230484,230820,230736,1745196,1746480,1745748,1745496,1746276,1745520,1745532,1745832,1746468,1745472,1745856,230628
KORA2461493,325824,326052,325776,325848,325920,325692,325800,325704,325764,325740,1568304,1568172,1567764,1568124,1567716,1567788,1567644,1568316,1567860,1568172,1567824,325812
KORA2453732,138444,138540,138600,138612,138792,138456,138648,138828,138756,138516,1285728,1286148,1286340,1286328,1286460,1286244,1285500,1285692,1286028,1286304,1286088,138636
KORA2456357,254532,254688,254328,254688,254604,254688,254604,254652,254544,254604,1672824,1673064,1671804,1672812,1672752,1672284,1672680,1673304,1672152,1672920,1672776,254568
KORA2453524,244980,244824,244836,244836,244812,245028,244920,244860,244716,244632,1541400,1541016,1540284,1540632,1541352,1541232,1540668,1541136,1541100,1540596,1541028,244908
KORA2452868,236844,237048,236964,237060,237060,237180,237072,237024,236916,237024,2082684,2083188,2083584,2084580,2084220,2083764,2083560,2083188,2083860,2082708,2083680,236928
KORA2457517,147612,147756,147564,147612,147528,147492,147744,147576,147660,147636,1599420,1599588,1599936,1599984,1598580,1598652,1600248,1598580,1599312,1599024,1599396,147672
KORA2461409,121488,121716,121404,121608,121716,121740,121308,121680,121560,121740,1353156,1353060,1352880,1353648,1353156,1353780,1353204,1352508,1354236,1353612,1353480,121608
KORA2459752,422664,422340,422304,422508,422412,422316,422544,422592,422520,422040,2267040,2266200,2267748,2267496,2266956,2267004,2267784,2267472,2267556,2266740,2267052,422448
KORA2452263,150732,150732,150696,150840,150780,150744,150648,150744,150780,150732,1414236,1412796,1413132,1413228,1412892,1413552,1413480,1413396,1413480,1413336,1413252,150756
KORA2460867,182256,182244,182268,182280,182136,182304,182268,182268,182280,182244,1332276,1332300,1332024,1332480,1332228,1332156,1332360,1332708,1332876,1332732,1332372,182244
KORA2460878,204504,204612,204756,204816,204648,204792,204708,204552,204900,204528,1866852,1866996,1867104,1867044,1867320,1866756,1867404,1868088,1867188,1866972,1867260,204684
KORA2453082,131748,131604,131580,131604,131640,131628,131676,131580,131652,131520,1359648,1358916,1359480,1358688,1358088,1359624,1359132,1358808,1358616,1359168,1359120,131604
KORA2453037,182964,182448,182520,182640,182676,182568,182244,183252,182640,182196,1150512,1148628,1153188,1153032,1149924,1150896,1150824,1151868,1152672,1149324,1150956,182664
KORA2462345,116532,116616,116628,116724,116520,116628,116748,116676,116652,116688,1888848,1889004,1888104,1888284,1888596,1888644,1888524,1888356,1888044,1887972,1888548,116652
KORA2461252,235068,234744,235056,234996,235092,235104,234876,235056,234960,234984,1766100,1764924,1765704,1764276,1766532,1765656,1766160,1766436,1765584,1766448,1765824,234996
KORA2459310,196836,196788,196764,196884,196692,196956,196848,196872,197052,196908,1543176,1542492,1542540,1543092,1542204,1543536,1543440,1543764,1542984,1542840,1542996,196860
KORA2460145,207948,207768,208140,207492,207828,208116,207876,207780,207540,207888,1649568,1649928,1650168,1649088,1649508,1650216,1650180,1649100,1649700,1650108,1649544,207756
KORA2458068,171360,171432,171480,171612,171504,171348,171432,171468,171456,171312,2466348,2466300,2464740,2466384,2466732,2465400,2464956,2465520,2466228,2464392,2465916,171432
KORA2460779,233652,233652,233388,233580,233172,233256,233460,233328,233460,233436,1274172,1272276,1274088,1273752,1273404,1273524,1273416,1274304,1273224,1273728,1273668,233436
KORA2453765,179316,178812,178620,179280,178584,178392,179028,178884,178692,179016,1682868,1684116,1683204,1684020,1683612,1683756,1685280,1683732,1683672,1683420,1683756,178860
KORA2461349,287904,287976,288036,287964,287964,287664,287760,287772,288060,287844,1860264,1859844,1859016,1860576,1860084,1859616,1860000,1860264,1859952,1859892,1859964,287904
KORA2452659,277716,277740,277740,277536,277764,277908,278040,277704,277404,277920,2534592,2534244,2534496,2534940,2534208,2535576,2535852,2534592,2533896,2534880,2534868,277740
KORA2452338,166644,167244,167484,166872,167352,167388,167196,166932,167580,167712,1864080,1864644,1864332,1864044,1864836,1863636,1863720,1863084,1865460,1865064,1864104,167064
KORA2462093,158136,158244,158172,158244,158184,158256,158076,158196,158352,158292,1752036,1752900,1753092,1752084,1753008,1753380,1753092,1752744,1752672,1753668,1752924,158208
KORA2456340,208200,208140,207852,208212,208032,207876,208032,208056,208308,207900,1468656,1470252,1468104,1469844,1469412,1470084,1470384,1468956,1470360,1469052,1469640,208080
KORA2453833,83148,83004,83172,82800,83016,83052,83040,83064,83076,82980,1857816,1858848,1859472,1857984,1858140,1858356,1858344,1857840,1858344,1858308,1858356,82992
KORA2461146,192624,192456,192516,192456,192552,192552,192552,192456,192384,192360,1907820,1907256,1907400,1907928,1909224,1908264,1908144,1908168,1906404,1906872,1907808,192456
KORA2459745,224904,225012,225036,225000,224988,224784,224592,224880,225072,224772,2150088,2146884,2151024,2149764,2150724,2148216,2148360,2152308,2149032,2147904,2149092,224868
KORA2460543,136944,136944,137016,136704,137100,136704,136884,136944,136992,137064,1185180,1185288,1185036,1184880,1185000,1184712,1184808,1184568,1185204,1184292,1185024,136872
KORA2461184,135576,135660,135420,135588,135420,135516,135504,135576,135480,135444,1556208,1556160,1555524,1555680,1556700,1555632,1555440,1556232,1556076,1556160,1555992,135480
KORA2459477,188760,188916,188916,189240,189372,188844,189048,188868,188904,189024,1384176,1383660,1384488,1383864,1384704,1383204,1383408,1384104,1384548,1383672,1383948,189048
KORA2453642,135084,134640,133992,134256,134328,133812,134508,133908,133980,134496,1329000,1327716,1327992,1327428,1328388,1328472,1327704,1329684,1329816,1328736,1328484,134340
KORA2453470,480852,478572,479316,480960,480744,480156,480852,479388,478692,479196,2029260,2029560,2029488,2029320,2030688,2030640,2030628,2032392,2030520,2031192,2030304,479736
KORA2455946,266328,266340,266352,266124,266280,266352,266460,266436,266412,266436,1567260,1566540,1566528,1567500,1567464,1567428,1567704,1567800,1568328,1567416,1567488,266400
KORA2453844,119352,119268,119220,119316,119532,119292,119244,119460,119424,119340,1515396,1515432,1514364,1515852,1516020,1515828,1516200,1515168,1514880,1516392,1515444,119304
KORA2453048,128208,128484,128340,128376,128388,128604,128172,128628,128232,128568,1062600,1062396,1062684,1062768,1061928,1062768,1062480,1062768,1062480,1063776,1062840,128448
KORA2459499,240048,239868,240192,239928,239988,240132,240192,240192,239832,239856,1923384,1922916,1924260,1924008,1922484,1923120,1924572,1923276,1923588,1924164,1923912,240036
KORA2452801,279360,279168,279444,279324,279492,279348,279636,279288,279384,279360,1403568,1404180,1403832,1403244,1404420,1404072,1403892,1403832,1403556,1403448,1403784,279384
KORA2461392,524952,524952,524916,524724,524712,524880,524724,524676,525168,525000,2245332,2244888,2245032,2244108,2243880,2244984,2244792,2243760,2245320,2244864,2244696,524808
KORA2456385,130272,130104,130212,130212,130272,130320,130200,130536,130248,130296,1224924,1224048,1224384,1225008,1224996,1225740,1224576,1224708,1223556,1224144,1224636,130188
KORA2458040,184980,185232,185076,185196,185316,185160,184968,185292,185112,185304,1668132,1671012,1667916,1669260,1669308,1669332,1668564,1671456,1669500,1670808,1669476,185196
KORA2460768,261144,261408,260904,261204,260892,261192,261228,261108,261120,261168,1416060,1415688,1415688,1415208,1415016,1415004,1415808,1414884,1415496,1415784,1415460,261168
KORA2452381,207000,207120,207072,206964,206928,207036,206976,206832,206976,207012,1776636,1776660,1777500,1776456,1777524,1776840,1776648,1777380,1776768,1776204,1776792,206976
KORA2459244,73428,73008,73152,73140,73560,73500,73488,72672,73092,73056,1826844,1827588,1825668,1825680,1827084,1828428,1825584,1826652,1824948,1825416,1826100,73188
KORA2461868,145284,145284,145404,145416,145152,145260,145044,145260,145092,145332,1462680,1462596,1460904,1461864,1462992,1462836,1462536,1460976,1461552,1462392,1462068,145248
KORA2453328,168420,168420,168504,168564,168324,168516,168504,168552,168600,168348,1758504,1758780,1757208,1757652,1757772,1758084,1758156,1757772,1757424,1757784,1757820,168516
KORA2460348,239784,240228,240012,240288,240072,239940,240084,240024,240012,240036,1426548,1426980,1427352,1427016,1426620,1427652,1426668,1426500,1426848,1426464,1426920,240012
KORA2455753,283656,283752,283596,283668,283812,283920,283692,283560,283632,283584,1676220,1676328,1676376,1676820,1676940,1676832,1676688,1676364,1676664,1675296,1676508,283776
KORA2458197,286344,286716,287016,286992,286644,286908,286896,286572,286692,286800,2283768,2283756,2284596,2284752,2284752,2284560,2283600,2284224,2284128,2283792,2284068,286776
KORA2453620,205920,206148,206004,206220,206076,206028,206016,206052,206028,206016,1894476,1895100,1894224,1894260,1894104,1895016,1894404,1894320,1894512,1893804,1894524,206040
KORA2458707,150012,149964,150192,150036,150192,149940,150036,150060,149916,150168,1622616,1622244,1622364,1622184,1622988,1622532,1622244,1622688,1622316,1622544,1622448,149988
KORA2456661,163860,163452,163416,163524,163464,163392,163452,163644,163464,163488,1245756,1245504,1246476,1246032,1245636,1244916,1245360,1245804,1244892,1245240,1245564,163620
KORA2461956,204216,204180,204012,204408,204144,204312,204036,204132,204204,204216,1498224,1497852,1497336,1497816,1497840,1498392,1498116,1498272,1498008,1498140,1498176,204180
KORA2453464,123792,123816,123984,123600,123960,123804,123876,123864,123768,123864,1212936,1212348,1212168,1212492,1212864,1212912,1213236,1213596,1212612,1213032,1212924,123912
KORA2456562,242892,243012,242904,243036,242892,243012,243036,243000,242856,242676,2059452,2062680,2060448,2059104,2059188,2056428,2062476,2061600,2057520,2058204,2059584,242940
KORA2452426,213540,213348,213312,213576,213912,213720,213636,214260,213804,213744,1400508,1401864,1401180,1400760,1401228,1400508,1401144,1400724,1401360,1401396,1401240,213660
KORA2458366,81840,81888,81972,81792,81804,81804,81816,81948,81876,81792,1459800,1459764,1460196,1459836,1461000,1459548,1459716,1459776,1460136,1459584,1459896,81840
KORA2461206,207912,207936,207792,207840,207912,207912,207900,207936,207696,207924,1245396,1245408,1245108,1245084,1245144,1245516,1244820,1245252,1244904,1244376,1245096,207900
KORA2461338,183696,183912,183660,183744,183528,183948,183840,183696,183744,183792,1689768,1690224,1690560,1689036,1690680,1690500,1689492,1688988,1688568,1688640,1689720,183684
KORA2456241,152088,152016,151968,151956,151980,152064,151968,152040,151776,152076,1009260,1009260,1009368,1008444,1008696,1009524,1008828,1009128,1009020,1008972,1009092,152028
KORA2459972,74436,74424,73956,74544,74508,74472,74400,74544,74232,74448,1500648,1501296,1499580,1500360,1500528,1499388,1500288,1500924,1500360,1500924,1500372,74364
KORA2455525,162228,162264,162168,162240,162204,162276,162204,162384,162300,162288,2038980,2037792,2038908,2038560,2037708,2037516,2037288,2038044,2037492,2038008,2038176,162264
KORA2452316,75012,75192,75204,75120,75144,75276,75144,75228,75132,75300,1194828,1194612,1195032,1195020,1194012,1195116,1194108,1194384,1194276,1194840,1194624,75132
KORA2461632,196632,196752,196584,196644,196716,196536,196620,196632,196764,196584,1934352,1934748,1934724,1934628,1933728,1934604,1935900,1935084,1934136,1935696,1934892,196596
KORA2460472,237132,237168,237288,237072,237228,237168,237228,237204,237120,237120,1533624,1534236,1534212,1533792,1534476,1533792,1534032,1534080,1534608,1534632,1534200,237180
KORA2459067,203628,203604,203736,203628,203724,203592,203688,203688,203676,203676,1364208,1363536,1363908,1363836,1364556,1363896,1364292,1364124,1363800,1363764,1363860,203760
KORA2452206,175212,175308,175296,175200,175224,175164,175128,175272,175140,175368,1043364,1043664,1043556,1043616,1043376,1044096,1043232,1043136,1043412,1043364,1043544,175224
KORA2460315,124152,124200,124116,124356,124224,124284,124260,124308,124548,124176,1891392,1891392,1892016,1892364,1891140,1890552,1891224,1890852,1893024,1890612,1891320,124284
KORA2462119,195192,195120,195144,195180,195144,195120,195252,195132,195156,195024,1897392,1896612,1896660,1896900,1897176,1897284,1897944,1897716,1897128,1898220,1897332,195120
KORA2457401,285996,286080,286104,286068,286092,285912,286020,286020,285912,285816,2119500,2120352,2118504,2119608,2120580,2120760,2119452,2118912,2118696,2118804,2119476,286032
KORA2462380,282600,282492,282504,282492,282576,282564,282348,282300,282708,282504,2038200,2036316,2037972,2036880,2036844,2038332,2037372,2037684,2039652,2037768,2037660,282552
KORA2461577,64140,64284,64284,64152,64272,64152,64128,64224,63972,64092,1215588,1215420,1215816,1215972,1215468,1216464,1214892,1215444,1215468,1214352,1215432,64140
KORA2458265,382680,382452,383256,383208,382788,382296,382572,382644,382824,382776,3133596,3132036,3132912,3134328,3136596,3131388,3130908,3134496,3134880,3134172,3133404,382872
KORA2452353,187044,186888,186804,186720,187344,186816,187092,187212,187104,186828,2116236,2114952,2115684,2116548,2115624,2115360,2116716,2116440,2116572,2116080,2116152,186936
KORA2459873,150252,150444,150456,150576,150600,150288,150432,150528,150276,150432,1735056,1734828,1734840,1735740,1735752,1734468,1733940,1734708,1735056,1734072,1734828,150396
KORA2456917,144876,145056,144936,144900,144528,144684,144864,144888,144792,144756,1321536,1321332,1322160,1321284,1320132,1320216,1320996,1322172,1320576,1320852,1321080,144864
KORA2459123,96516,96456,96336,96396,96444,96612,96360,96480,96384,96444,1643760,1644240,1644204,1643940,1644480,1644504,1644024,1644252,1643424,1644204,1644096,96420
KORA2453363,314208,313884,313908,313968,313860,313824,313956,313992,313908,314040,1497840,1497648,1497432,1498356,1497312,1497924,1497792,1498068,1497900,1497924,1497996,313968
KORA2455296,126564,126576,126780,126780,126792,126444,126768,126720,126888,126636,1931952,1934844,1933260,1934124,1933488,1933956,1932372,1932024,1932624,1932084,1933080,126624
KORA2461555,258084,258204,258108,258300,258096,257988,258228,258012,258096,258072,1551768,1552536,1552056,1552344,1552464,1551732,1551828,1552212,1551876,1552188,1551936,258120
